epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3115.35,1.4514,2.8857,1.49836,0.296,0.22119,0.14721,0.07432,1.82542,4.86502,1.9762,0.000552379,0.000552379,0.000552379
2,4424.95,1.56333,2.31497,1.56774,0.46644,0.40557,0.38537,0.18515,1.73247,2.56201,1.76961,0.00108611,0.00108611,0.00108611
3,5546.85,1.60572,2.09515,1.60505,0.13841,0.3967,0.12928,0.05927,1.81291,9.87669,1.92214,0.00159783,0.00159783,0.00159783
4,6677.04,1.57905,1.94182,1.58434,0.77968,0.39524,0.51321,0.26644,1.58637,2.25957,1.62492,0.00156798,0.00156798,0.00156798
5,7807.1,1.5006,1.70774,1.51506,0.60358,0.5996,0.58975,0.30938,1.52304,1.89931,1.60142,0.00153497,0.00153497,0.00153497
6,21609.1,1.42897,1.57284,1.45988,0.74309,0.63678,0.66439,0.39392,1.51996,1.6862,1.6157,0.00150197,0.00150197,0.00150197
7,34019.9,1.38995,1.47022,1.42928,0.77535,0.62373,0.73294,0.38587,1.46088,1.55481,1.54228,0.00146896,0.00146896,0.00146896
8,47536.8,1.34641,1.40128,1.40581,0.64175,0.67888,0.68499,0.42603,1.35334,1.45562,1.4248,0.00143595,0.00143595,0.00143595
9,55818.5,1.27951,1.27155,1.35596,0.7432,0.72978,0.75432,0.469,1.29759,1.25092,1.40036,0.00140295,0.00140295,0.00140295
10,57138.5,1.26986,1.21093,1.34335,0.79391,0.70977,0.74832,0.43234,1.3152,1.34676,1.45148,0.00136994,0.00136994,0.00136994
11,59892.1,1.2118,1.15487,1.30927,0.73214,0.71444,0.72604,0.41725,1.32321,1.34284,1.40903,0.00133693,0.00133693,0.00133693
12,72002.1,1.20139,1.13836,1.30613,0.82969,0.73177,0.79864,0.50006,1.2442,1.16157,1.33275,0.00130393,0.00130393,0.00130393
13,87818.8,1.18236,1.09675,1.287,0.79344,0.77437,0.80676,0.51952,1.29542,1.16299,1.35105,0.00127092,0.00127092,0.00127092
14,134182,1.15318,1.04227,1.26969,0.81342,0.77094,0.83603,0.52873,1.27765,1.10218,1.34207,0.00123791,0.00123791,0.00123791
