epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1105.14,1.37691,2.17217,1.39696,0.29205,0.22015,0.16407,0.06365,2.11181,3.02421,2.3398,0.0700952,0.00332275,0.00332275
2,2135.02,1.16304,1.35182,1.24689,0.29658,0.27927,0.21151,0.0814,2.15548,2.74917,2.38524,0.0400293,0.00659019,0.00659019
3,3192.03,1.19718,1.31001,1.2627,0.23043,0.26926,0.16409,0.05841,2.38838,2.89021,2.76996,0.00989745,0.00979163,0.00979163
4,4221.81,1.22106,1.30203,1.28743,0.29047,0.27294,0.19314,0.06433,2.4321,3.03562,2.78923,0.009703,0.009703,0.009703
5,5252.99,1.13413,1.16655,1.23128,0.25779,0.3,0.17663,0.05917,2.45133,2.63983,2.64634,0.009604,0.009604,0.009604
6,6284.54,1.13039,1.13373,1.2437,0.35055,0.30528,0.23425,0.08753,2.47951,2.57388,2.62376,0.009505,0.009505,0.009505
7,7299.22,1.07324,1.06532,1.21704,0.41155,0.30015,0.27074,0.10167,2.38625,2.57364,2.55972,0.009406,0.009406,0.009406
8,8409.34,1.02896,1.00079,1.20247,0.26495,0.31111,0.2018,0.07705,2.31176,2.69439,2.54571,0.009307,0.009307,0.009307
9,9714.9,0.97693,0.93276,1.16993,0.41928,0.30588,0.27789,0.10358,2.31901,2.48564,2.54824,0.009208,0.009208,0.009208
10,10917.5,0.94363,0.8908,1.1447,0.38515,0.32574,0.28121,0.10157,2.50069,2.36074,2.68543,0.009109,0.009109,0.009109
11,12242,0.91936,0.86021,1.137,0.4265,0.33824,0.32208,0.12774,2.19581,2.45173,2.39973,0.00901,0.00901,0.00901
12,13536.4,0.8904,0.81921,1.12318,0.47685,0.37465,0.36679,0.14585,2.3114,2.24918,2.52594,0.008911,0.008911,0.008911
13,14818,0.86449,0.7912,1.1079,0.4393,0.39221,0.37081,0.14645,2.20913,2.06344,2.41368,0.008812,0.008812,0.008812
14,16013.9,0.85458,0.77273,1.10043,0.42656,0.36778,0.31184,0.12466,2.2757,2.23337,2.51297,0.008713,0.008713,0.008713
15,17052.1,0.83188,0.75342,1.08949,0.49332,0.41603,0.39918,0.16018,2.21953,2.0928,2.45712,0.008614,0.008614,0.008614
16,18333.1,0.81616,0.73636,1.0803,0.50663,0.31721,0.3271,0.13219,2.3179,2.33149,2.57948,0.008515,0.008515,0.008515
17,19631.4,0.83138,0.7529,1.09134,0.47248,0.41412,0.39172,0.15928,2.16421,2.1265,2.37256,0.008416,0.008416,0.008416
18,20846.4,0.78834,0.69786,1.06784,0.46057,0.41779,0.40236,0.16237,2.13849,2.09518,2.36883,0.008317,0.008317,0.008317
19,22057.1,0.75592,0.67021,1.05148,0.48331,0.39971,0.37889,0.1535,2.26514,2.22476,2.42741,0.008218,0.008218,0.008218
20,23267.7,0.75391,0.657,1.05051,0.49195,0.42603,0.40173,0.16439,2.29765,2.03603,2.53921,0.008119,0.008119,0.008119
21,24506.9,0.75477,0.64864,1.04948,0.52951,0.42853,0.42342,0.17658,2.1484,1.96021,2.31432,0.00802,0.00802,0.00802
22,25796.7,0.72807,0.63612,1.03708,0.45457,0.42284,0.3994,0.17035,2.10563,1.98996,2.32603,0.007921,0.007921,0.007921
23,27120.4,0.72399,0.63977,1.03009,0.58541,0.37691,0.40214,0.16508,2.18028,2.10447,2.45235,0.007822,0.007822,0.007822
24,28487.1,0.69429,0.60845,1.02315,0.56474,0.44858,0.45598,0.20219,2.0752,1.9485,2.30009,0.007723,0.007723,0.007723
25,29801.7,0.68318,0.59773,1.01888,0.51392,0.38941,0.38686,0.17257,2.04807,2.31816,2.27404,0.007624,0.007624,0.007624
26,30911.7,0.69249,0.60126,1.03129,0.54188,0.44824,0.45876,0.19998,2.05857,1.91586,2.27988,0.007525,0.007525,0.007525
27,32053.9,0.66789,0.56809,1.01416,0.63202,0.505,0.52261,0.22002,2.14761,1.86732,2.39479,0.007426,0.007426,0.007426
28,33104.6,0.6707,0.56698,1.0098,0.56263,0.46956,0.47313,0.20897,2.02712,1.79825,2.2421,0.007327,0.007327,0.007327
29,34165.3,0.66318,0.55393,1.00957,0.50732,0.46412,0.45251,0.18957,2.14326,2.06747,2.4543,0.007228,0.007228,0.007228
30,35229.7,0.67229,0.57892,1.01652,0.52593,0.46426,0.44143,0.19307,2.15264,1.99021,2.37248,0.007129,0.007129,0.007129
31,36261.2,0.64599,0.55044,0.99948,0.56105,0.49059,0.47125,0.20062,2.16402,1.88267,2.415,0.00703,0.00703,0.00703
32,37283.9,0.62649,0.53988,0.99437,0.59242,0.47985,0.48756,0.21931,2.03392,1.84563,2.26412,0.006931,0.006931,0.006931
33,38372.8,0.65115,0.55655,0.99906,0.56359,0.44015,0.45413,0.2041,2.03855,1.87564,2.23162,0.006832,0.006832,0.006832
34,39457.1,0.6357,0.54473,0.998,0.55518,0.45632,0.45895,0.2115,2.12047,1.98439,2.31261,0.006733,0.006733,0.006733
35,40569,0.62942,0.53929,0.9994,0.59922,0.50265,0.50569,0.22085,2.00664,1.86696,2.22531,0.006634,0.006634,0.006634
36,41633.4,0.61408,0.52757,0.99427,0.5935,0.47632,0.49282,0.21643,2.10374,1.82394,2.32111,0.006535,0.006535,0.006535
37,42648.7,0.59767,0.5124,0.97834,0.58435,0.51765,0.5059,0.22617,2.05944,1.75127,2.24087,0.006436,0.006436,0.006436
38,43715.8,0.59641,0.49443,0.9811,0.6241,0.54521,0.54664,0.24521,2.02876,1.69872,2.19746,0.006337,0.006337,0.006337
39,44784.3,0.58667,0.48899,0.97069,0.63232,0.52175,0.52595,0.2349,2.06353,1.76684,2.25954,0.006238,0.006238,0.006238
40,45831.9,0.58319,0.48708,0.97473,0.59484,0.50393,0.50061,0.2344,2.07676,1.75257,2.22754,0.006139,0.006139,0.006139
41,46892.9,0.58855,0.48895,0.98545,0.56184,0.52819,0.51231,0.23645,1.99967,1.68818,2.18675,0.00604,0.00604,0.00604
42,48000.3,0.5731,0.4746,0.96895,0.68654,0.54647,0.56081,0.25789,2.08646,1.58426,2.24508,0.005941,0.005941,0.005941
43,49079.8,0.56122,0.46502,0.96955,0.65345,0.53075,0.54116,0.24878,2.08674,1.63975,2.28045,0.005842,0.005842,0.005842
44,50184.8,0.56005,0.46781,0.97103,0.59735,0.54956,0.5272,0.23575,2.11455,1.66139,2.31542,0.005743,0.005743,0.005743
45,51283.6,0.55664,0.4676,0.96614,0.66033,0.52441,0.53942,0.25275,2.06192,1.67839,2.24276,0.005644,0.005644,0.005644
46,52349.8,0.5647,0.4686,0.96795,0.64581,0.54118,0.52746,0.25222,1.99284,1.72934,2.18285,0.005545,0.005545,0.005545
47,53447.3,0.55066,0.44817,0.95713,0.60845,0.55015,0.55041,0.25683,1.98643,1.5996,2.18332,0.005446,0.005446,0.005446
48,54501,0.54305,0.44338,0.94853,0.63031,0.51397,0.49892,0.24024,2.08014,1.85543,2.26472,0.005347,0.005347,0.005347
49,55578.8,0.55519,0.45546,0.95756,0.63581,0.53162,0.53079,0.2505,2.07463,1.72014,2.30984,0.005248,0.005248,0.005248
50,56584.9,0.53898,0.44263,0.96129,0.60297,0.53706,0.52979,0.25513,2.04203,1.64764,2.23735,0.005149,0.005149,0.005149
51,57589.7,0.53355,0.44149,0.95777,0.65851,0.55103,0.56462,0.27567,1.9832,1.64349,2.18498,0.00505,0.00505,0.00505
52,58594.8,0.52327,0.42452,0.95166,0.664,0.54912,0.54766,0.26552,2.01256,1.62425,2.20605,0.004951,0.004951,0.004951
53,59598.3,0.52641,0.41904,0.945,0.63657,0.56118,0.56516,0.26988,2.02708,1.59197,2.21941,0.004852,0.004852,0.004852
54,60611,0.52007,0.42122,0.94524,0.68072,0.57158,0.57729,0.28678,1.97646,1.53877,2.17445,0.004753,0.004753,0.004753
55,61621.1,0.52603,0.42181,0.95141,0.65396,0.55706,0.54608,0.27184,1.96573,1.69225,2.14711,0.004654,0.004654,0.004654
56,62625.8,0.50764,0.40872,0.94363,0.66667,0.57691,0.57344,0.28159,2.01512,1.63022,2.20974,0.004555,0.004555,0.004555
57,63620.5,0.5106,0.40944,0.94415,0.67801,0.56297,0.56372,0.27366,2.0252,1.58873,2.23969,0.004456,0.004456,0.004456
58,64616.2,0.50107,0.39803,0.93596,0.67127,0.57088,0.5838,0.28412,1.98763,1.52701,2.20069,0.004357,0.004357,0.004357
59,65613.1,0.50341,0.40711,0.94309,0.67981,0.56926,0.58114,0.28587,1.99466,1.54972,2.20154,0.004258,0.004258,0.004258
60,66608,0.48805,0.39441,0.9355,0.68879,0.60074,0.61198,0.30588,1.93537,1.44802,2.14422,0.004159,0.004159,0.004159
61,67602.2,0.48517,0.39152,0.93834,0.70931,0.58884,0.59485,0.30036,1.94129,1.56777,2.11811,0.00406,0.00406,0.00406
62,68598.2,0.48297,0.39292,0.93411,0.68565,0.56426,0.55919,0.27802,1.98769,1.58272,2.19101,0.003961,0.003961,0.003961
63,69593.1,0.49351,0.39472,0.93457,0.67897,0.59353,0.58589,0.29553,1.93672,1.48865,2.13249,0.003862,0.003862,0.003862
64,70587.4,0.48521,0.39233,0.93735,0.63888,0.58809,0.57116,0.28267,1.95617,1.55789,2.17243,0.003763,0.003763,0.003763
65,86516.4,0.46803,0.37496,0.92948,0.69604,0.5875,0.59092,0.29616,1.95826,1.51707,2.1621,0.003664,0.003664,0.003664
66,87518.5,0.4652,0.37693,0.92806,0.67894,0.59162,0.59598,0.29402,1.95384,1.47601,2.13499,0.003565,0.003565,0.003565
67,88521.9,0.47174,0.37424,0.9285,0.71122,0.57261,0.58093,0.29287,1.9578,1.5776,2.13671,0.003466,0.003466,0.003466
68,89518,0.4793,0.38258,0.93648,0.72088,0.5775,0.5839,0.29834,1.9553,1.58042,2.1489,0.003367,0.003367,0.003367
69,90579.2,0.47201,0.38145,0.92839,0.71678,0.57382,0.58588,0.30063,1.94621,1.58484,2.11691,0.003268,0.003268,0.003268
70,91667.9,0.45734,0.35981,0.92028,0.71277,0.57324,0.55888,0.28741,2.01015,1.62545,2.19507,0.003169,0.003169,0.003169
71,92793.3,0.45803,0.37097,0.92831,0.71515,0.59191,0.58864,0.30083,1.96021,1.51288,2.1729,0.00307,0.00307,0.00307
72,93850.6,0.4489,0.34871,0.92696,0.73088,0.59294,0.60522,0.31121,1.9688,1.45027,2.17118,0.002971,0.002971,0.002971
73,94893.5,0.44607,0.35235,0.92016,0.72461,0.6,0.60863,0.30936,1.955,1.44469,2.14524,0.002872,0.002872,0.002872
74,95932.9,0.45749,0.35672,0.92802,0.68982,0.62176,0.60894,0.30678,1.942,1.39504,2.13348,0.002773,0.002773,0.002773
75,97117.2,0.43968,0.34849,0.92193,0.70207,0.60206,0.60484,0.30486,1.97853,1.40965,2.15479,0.002674,0.002674,0.002674
76,98399.9,0.44954,0.34689,0.9227,0.74391,0.60529,0.61353,0.31278,1.93002,1.47579,2.1135,0.002575,0.002575,0.002575
77,99793.1,0.4369,0.34431,0.91468,0.73541,0.58982,0.60324,0.31547,1.91689,1.48021,2.11146,0.002476,0.002476,0.002476
78,101129,0.42222,0.33953,0.91629,0.72347,0.60559,0.60854,0.30694,1.95355,1.50139,2.13546,0.002377,0.002377,0.002377
79,102406,0.41898,0.33461,0.91392,0.73305,0.61426,0.62202,0.31238,1.97458,1.36892,2.16276,0.002278,0.002278,0.002278
80,103733,0.42954,0.33439,0.91438,0.71767,0.61978,0.61794,0.31986,1.91797,1.42841,2.10484,0.002179,0.002179,0.002179
81,104882,0.42565,0.33249,0.91695,0.74207,0.615,0.63261,0.32078,1.93341,1.37186,2.11845,0.00208,0.00208,0.00208
82,106189,0.41038,0.32739,0.9058,0.74501,0.60367,0.61832,0.31837,1.93387,1.39646,2.10884,0.001981,0.001981,0.001981
83,107353,0.40028,0.31989,0.90572,0.74121,0.6141,0.6348,0.33001,1.90773,1.38204,2.11814,0.001882,0.001882,0.001882
84,108473,0.40056,0.31337,0.91061,0.75995,0.62441,0.65274,0.3347,1.89341,1.3569,2.07393,0.001783,0.001783,0.001783
85,109677,0.39749,0.31208,0.90698,0.74574,0.60858,0.62464,0.32578,1.89511,1.39813,2.08548,0.001684,0.001684,0.001684
86,110956,0.39512,0.31003,0.90537,0.74107,0.61659,0.63708,0.33069,1.90025,1.34633,2.0956,0.001585,0.001585,0.001585
87,112418,0.39226,0.30401,0.90261,0.72846,0.61189,0.61051,0.32394,1.90189,1.46401,2.10491,0.001486,0.001486,0.001486
88,114077,0.39387,0.31094,0.90109,0.75003,0.58882,0.61053,0.3267,1.91264,1.43819,2.11012,0.001387,0.001387,0.001387
89,115496,0.38158,0.30215,0.89899,0.75505,0.60897,0.63506,0.33663,1.90339,1.37557,2.13341,0.001288,0.001288,0.001288
90,116894,0.38418,0.29494,0.90163,0.75349,0.60369,0.61906,0.32897,1.92344,1.38492,2.13571,0.001189,0.001189,0.001189
