epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,718.691,1.22933,2.26899,1.45365,0.35606,0.45149,0.39684,0.19682,1.52754,2.97481,1.59723,0.000553351,0.000553351,0.000553351
2,1410.7,1.29195,1.81795,1.51054,0.56308,0.366,0.41514,0.25938,1.65027,2.48868,1.66067,0.00108706,0.00108706,0.00108706
3,2190.08,1.33665,1.69635,1.54614,0.46578,0.40535,0.45685,0.29544,1.65027,2.53993,1.77881,0.00159876,0.00159876,0.00159876
4,2920.06,1.31435,1.54533,1.5186,0.42977,0.44956,0.41248,0.2733,1.50063,2.12641,1.595,0.00156798,0.00156798,0.00156798
5,3639.12,1.243,1.46073,1.47433,0.8664,0.50393,0.62199,0.40449,1.49381,1.93943,1.60975,0.00153497,0.00153497,0.00153497
6,4357.65,1.19512,1.34158,1.43082,0.94632,0.47108,0.58135,0.38453,1.43412,2.01363,1.53216,0.00150197,0.00150197,0.00150197
7,5076.17,1.15529,1.27719,1.40217,0.85416,0.52466,0.61801,0.42191,1.26861,2.14386,1.35215,0.00146896,0.00146896,0.00146896
8,5902.7,1.14606,1.23479,1.39506,0.90659,0.538,0.68621,0.47468,1.25286,1.64955,1.41586,0.00143595,0.00143595,0.00143595
9,6766.74,1.11971,1.18917,1.37335,0.89642,0.48994,0.60058,0.43743,1.18948,2.05693,1.36657,0.00140295,0.00140295,0.00140295
10,7512.62,1.08804,1.13474,1.35229,0.91275,0.60045,0.73476,0.51752,1.16905,1.3158,1.29439,0.00136994,0.00136994,0.00136994
11,8247.27,1.07844,1.10289,1.35053,0.90678,0.5592,0.66974,0.4662,1.18888,1.66951,1.39503,0.00133693,0.00133693,0.00133693
12,8977.92,1.07927,1.11285,1.34856,0.88027,0.55154,0.67624,0.46083,1.28721,1.70593,1.40558,0.00130393,0.00130393,0.00130393
13,9779.84,1.04347,1.06303,1.32199,0.77644,0.58418,0.64214,0.43281,1.32986,1.57996,1.46451,0.00127092,0.00127092,0.00127092
14,10571.3,1.03026,1.03584,1.31394,0.80816,0.64877,0.73134,0.52186,1.13744,1.53642,1.33776,0.00123791,0.00123791,0.00123791
15,11343.9,1.02336,1.01627,1.30505,0.89794,0.58464,0.72994,0.53551,1.2031,1.63008,1.36836,0.00120491,0.00120491,0.00120491
16,12099.5,1.02442,1.01007,1.30052,0.80323,0.71615,0.77971,0.58264,1.015,1.19984,1.19264,0.0011719,0.0011719,0.0011719
17,12885.8,1.02298,0.97781,1.30541,0.75012,0.66287,0.73896,0.54665,1.07603,1.34359,1.21891,0.00113889,0.00113889,0.00113889
18,13688.1,0.99105,0.95859,1.28916,0.82885,0.75849,0.80079,0.57722,1.06526,1.15051,1.20595,0.00110589,0.00110589,0.00110589
19,14428.1,0.97948,0.92577,1.26822,0.82282,0.70262,0.79421,0.57641,1.04456,1.24038,1.22755,0.00107288,0.00107288,0.00107288
20,15138.9,0.96264,0.93763,1.26341,0.81593,0.75736,0.79048,0.5705,0.99787,1.07081,1.14648,0.00103987,0.00103987,0.00103987
21,15847.4,0.97078,0.90088,1.26477,0.89772,0.60862,0.7522,0.56496,1.08968,1.49587,1.29082,0.00100687,0.00100687,0.00100687
22,16553.5,0.95158,0.88847,1.25482,0.92438,0.71855,0.81238,0.61006,1.02886,1.22759,1.20539,0.000973861,0.000973861,0.000973861
23,17263.3,0.94989,0.8882,1.25221,0.88947,0.79011,0.83437,0.62693,0.96383,1.02603,1.16015,0.000940855,0.000940855,0.000940855
24,18090.4,0.93423,0.8375,1.24261,0.90783,0.79823,0.85379,0.6431,0.97778,1.00068,1.15177,0.000907848,0.000907848,0.000907848
25,18924.9,0.92928,0.83188,1.24107,0.88157,0.80515,0.84323,0.6382,0.97007,1.01859,1.13963,0.000874842,0.000874842,0.000874842
26,19687.7,0.91457,0.83238,1.22559,0.88647,0.71896,0.80989,0.62583,0.99637,1.14905,1.18826,0.000841835,0.000841835,0.000841835
27,20456.5,0.91138,0.81477,1.23209,0.88938,0.81782,0.86637,0.64892,0.98702,0.92246,1.14639,0.000808828,0.000808828,0.000808828
28,21430.1,0.89788,0.80365,1.21501,0.85698,0.70557,0.82815,0.63418,0.97786,1.17,1.15276,0.000775822,0.000775822,0.000775822
29,22350.1,0.90326,0.79322,1.22325,0.8568,0.80637,0.85905,0.65599,0.97168,1.01135,1.15941,0.000742815,0.000742815,0.000742815
30,23161.1,0.89853,0.79311,1.21288,0.90144,0.75758,0.85352,0.64375,0.96894,1.00016,1.14698,0.000709809,0.000709809,0.000709809
31,23900,0.8866,0.76694,1.20472,0.89631,0.80396,0.86227,0.66076,0.93569,0.95701,1.11454,0.000676802,0.000676802,0.000676802
32,24633.5,0.87449,0.75684,1.19873,0.85909,0.78586,0.84819,0.66189,0.93525,0.96526,1.10485,0.000643795,0.000643795,0.000643795
33,25367.5,0.86675,0.74746,1.1969,0.89115,0.79821,0.86981,0.67727,0.90408,0.93966,1.08336,0.000610789,0.000610789,0.000610789
34,26106.7,0.85662,0.73448,1.19305,0.86204,0.78187,0.85927,0.64986,0.9549,0.97697,1.12054,0.000577782,0.000577782,0.000577782
35,26845.4,0.85595,0.73753,1.18751,0.83424,0.79585,0.83571,0.64885,0.91311,1.02019,1.11007,0.000544776,0.000544776,0.000544776
36,27584.3,0.86422,0.72177,1.19096,0.87113,0.72754,0.83617,0.64899,0.91446,1.09052,1.10926,0.000511769,0.000511769,0.000511769
37,28317.4,0.84358,0.70504,1.18159,0.88285,0.82884,0.8614,0.67062,0.90012,0.94463,1.09172,0.000478762,0.000478762,0.000478762
38,29052,0.84214,0.69192,1.17494,0.88661,0.82557,0.86168,0.67263,0.89103,0.92422,1.08642,0.000445756,0.000445756,0.000445756
39,29786.6,0.82851,0.68539,1.17287,0.90191,0.82216,0.86792,0.68315,0.90486,0.97637,1.09883,0.000412749,0.000412749,0.000412749
40,30527.7,0.82984,0.68414,1.16985,0.85512,0.7978,0.83556,0.66078,0.95938,0.96079,1.126,0.000379743,0.000379743,0.000379743
41,31255.9,0.79358,0.54816,1.14469,0.92766,0.83089,0.87551,0.69279,0.917,0.8756,1.08718,0.000346736,0.000346736,0.000346736
42,31981.6,0.78103,0.52624,1.12836,0.90359,0.84242,0.87707,0.68992,0.92985,0.85058,1.09596,0.000313729,0.000313729,0.000313729
43,32770.7,0.76237,0.51374,1.11878,0.91741,0.84682,0.87214,0.68665,0.89342,0.84568,1.08459,0.000280723,0.000280723,0.000280723
44,33561.9,0.75486,0.5034,1.11619,0.92212,0.83211,0.86789,0.68731,0.90824,0.87305,1.09213,0.000247716,0.000247716,0.000247716
45,34337.8,0.73964,0.48848,1.10457,0.90467,0.83374,0.87343,0.69879,0.87859,0.88968,1.07984,0.00021471,0.00021471,0.00021471
46,35148.7,0.73187,0.47785,1.1004,0.92413,0.84845,0.88272,0.70154,0.88739,0.77696,1.07062,0.000181703,0.000181703,0.000181703
47,35996.7,0.72951,0.46582,1.09778,0.92189,0.8631,0.88541,0.70855,0.89583,0.77626,1.07795,0.000148696,0.000148696,0.000148696
48,36783.7,0.71411,0.45311,1.08972,0.90573,0.85008,0.8788,0.70564,0.86476,0.81748,1.06539,0.00011569,0.00011569,0.00011569
49,37535.8,0.70317,0.44212,1.07606,0.89229,0.87081,0.8827,0.71073,0.85734,0.8143,1.06024,8.26832e-05,8.26832e-05,8.26832e-05
50,38291.9,0.7042,0.44325,1.08009,0.90933,0.86209,0.88448,0.71404,0.84979,0.80204,1.05395,4.96766e-05,4.96766e-05,4.96766e-05
