epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.8,1.10376,2.26594,1.2156,0.8427,0.38415,0.68202,0.49455,0.95698,2.46313,1.14121,0.000653595,0.000653595,0.000653595
2,344.245,1.13474,1.68661,1.18365,0.86586,0.55488,0.65262,0.43403,1.07934,2.03023,1.26694,0.00129412,0.00129412,0.00129412
3,516.319,1.15638,1.53919,1.21207,0.91765,0.71341,0.77417,0.58454,1.05249,2.30194,1.2513,0.00190825,0.00190825,0.00190825
4,689.242,1.1324,1.36093,1.16947,0.73964,0.57317,0.65808,0.48022,1.14565,1.83343,1.22203,0.0018812,0.0018812,0.0018812
5,861.704,1.12212,1.19637,1.1649,0.96718,0.71341,0.82321,0.62873,0.93821,1.63247,1.07352,0.0018416,0.0018416,0.0018416
6,1033.05,1.07849,1.10055,1.15341,0.78525,0.7358,0.78598,0.55609,1.0642,1.22326,1.22725,0.001802,0.001802,0.001802
7,1205.76,1.05229,1.0204,1.12197,0.73578,0.79805,0.84534,0.62751,0.91415,1.37326,1.08413,0.0017624,0.0017624,0.0017624
8,1379.32,1.00554,0.98815,1.11215,0.6646,0.63415,0.68738,0.48483,1.11717,1.44842,1.2386,0.0017228,0.0017228,0.0017228
9,1550.3,1.00199,0.92968,1.10472,0.9382,0.67683,0.76736,0.53699,1.13019,1.296,1.24812,0.0016832,0.0016832,0.0016832
10,1721.92,0.97039,0.85568,1.09231,0.80235,0.72561,0.7796,0.5985,0.84543,1.25205,1.02119,0.0016436,0.0016436,0.0016436
11,1892.03,0.89584,0.79921,1.05718,0.91451,0.93902,0.98276,0.79679,0.66831,0.59594,0.92461,0.001604,0.001604,0.001604
12,2059.8,0.87512,0.78829,1.04216,0.90951,0.91928,0.95573,0.78003,0.80389,0.63233,1.00799,0.0015644,0.0015644,0.0015644
13,2229.58,0.85142,0.74289,1.0363,0.85632,0.83587,0.89867,0.69784,0.78989,0.81765,1.03207,0.0015248,0.0015248,0.0015248
14,2398.68,0.90846,0.73242,1.06792,0.83222,0.8771,0.89255,0.73718,0.68614,0.75366,0.9575,0.0014852,0.0014852,0.0014852
15,2569.27,0.83461,0.7128,1.01475,0.90015,0.87953,0.93322,0.75409,0.68249,0.62793,0.94428,0.0014456,0.0014456,0.0014456
16,2742.06,0.82249,0.69369,1.01971,0.98134,0.96203,0.98825,0.82972,0.59792,0.54425,0.90433,0.001406,0.001406,0.001406
17,2914.78,0.83424,0.68373,1.03011,0.97401,0.98171,0.99023,0.8501,0.6317,0.46852,0.93674,0.0013664,0.0013664,0.0013664
18,3079.85,0.81848,0.66776,1.01037,0.99113,0.96341,0.97531,0.81812,0.55746,0.46154,0.88818,0.0013268,0.0013268,0.0013268
19,3242.32,0.79004,0.64291,1.00638,0.98714,0.93576,0.98452,0.77331,0.69049,0.49522,0.9245,0.0012872,0.0012872,0.0012872
20,3406.45,0.7909,0.62585,1.0045,0.97321,0.98171,0.98904,0.7915,0.62332,0.44596,0.90496,0.0012476,0.0012476,0.0012476
21,3571.05,0.79918,0.63618,1.01117,0.95703,0.95053,0.96957,0.77949,0.74782,0.47779,0.9463,0.001208,0.001208,0.001208
22,3734.53,0.75406,0.5917,0.98599,0.98509,0.98171,0.99195,0.84523,0.60395,0.44354,0.89456,0.0011684,0.0011684,0.0011684
23,3896.69,0.76798,0.61696,0.98622,0.97497,0.95012,0.97646,0.81287,0.61678,0.45836,0.91653,0.0011288,0.0011288,0.0011288
24,4059.1,0.7092,0.5678,0.97446,0.97995,0.96951,0.98598,0.8458,0.55588,0.38881,0.88446,0.0010892,0.0010892,0.0010892
25,4223.49,0.71945,0.5771,0.97336,0.94268,0.94512,0.98407,0.83131,0.58851,0.41976,0.89842,0.0010496,0.0010496,0.0010496
26,4386.68,0.72255,0.56375,0.97941,0.98348,0.94512,0.97279,0.82852,0.58725,0.4381,0.90841,0.00101,0.00101,0.00101
27,4548.58,0.72661,0.55576,0.97268,0.97297,0.98171,0.99198,0.85672,0.56556,0.38314,0.88579,0.0009704,0.0009704,0.0009704
28,4710.81,0.71869,0.55591,0.97667,1,0.97483,0.99476,0.88196,0.48624,0.37275,0.84986,0.0009308,0.0009308,0.0009308
29,4872.9,0.68284,0.52437,0.96356,0.994,0.95122,0.98652,0.87527,0.54656,0.44093,0.8699,0.0008912,0.0008912,0.0008912
30,5034.67,0.64957,0.50992,0.95459,0.97527,0.96186,0.98791,0.84907,0.50123,0.42109,0.86238,0.0008516,0.0008516,0.0008516
31,5196.57,0.67971,0.51725,0.94955,0.97956,0.97561,0.98605,0.8637,0.51083,0.3775,0.85792,0.000812,0.000812,0.000812
32,5383.99,0.65059,0.5136,0.9529,0.9809,0.9939,0.99394,0.88771,0.48244,0.33999,0.85186,0.0007724,0.0007724,0.0007724
33,5563.53,0.63328,0.5048,0.94264,0.99924,0.98171,0.99482,0.87859,0.4943,0.36212,0.85875,0.0007328,0.0007328,0.0007328
34,5736.03,0.63294,0.48421,0.93681,1,0.97532,0.99446,0.89872,0.4551,0.32232,0.84027,0.0006932,0.0006932,0.0006932
35,5913.23,0.6144,0.47622,0.93505,0.9939,0.99323,0.99488,0.87685,0.50651,0.35023,0.85033,0.0006536,0.0006536,0.0006536
36,6086.67,0.6245,0.47362,0.93661,0.99221,0.98171,0.99458,0.87267,0.50054,0.34569,0.84705,0.000614,0.000614,0.000614
37,6263.41,0.61239,0.46906,0.93003,0.97859,0.9878,0.99396,0.89264,0.469,0.31617,0.84137,0.0005744,0.0005744,0.0005744
38,6439,0.58129,0.46054,0.92101,0.9872,0.98171,0.99458,0.88319,0.4698,0.32663,0.83443,0.0005348,0.0005348,0.0005348
39,6617.18,0.62036,0.47101,0.93568,0.99385,0.98586,0.99418,0.88363,0.47321,0.33277,0.83651,0.0004952,0.0004952,0.0004952
40,6794.86,0.60995,0.47635,0.93148,0.98674,1,0.99451,0.89958,0.4489,0.31807,0.8371,0.0004556,0.0004556,0.0004556
41,6967.8,0.54775,0.43049,0.87743,0.98867,0.9939,0.99463,0.88747,0.45294,0.29491,0.83066,0.000416,0.000416,0.000416
42,7145.56,0.52337,0.3916,0.88172,0.99388,0.99068,0.99494,0.90456,0.47095,0.31325,0.83589,0.0003764,0.0003764,0.0003764
43,7317.01,0.5073,0.38122,0.86699,0.99774,0.98171,0.99437,0.89951,0.41562,0.29954,0.81788,0.0003368,0.0003368,0.0003368
44,7489.12,0.49719,0.36885,0.86037,0.99385,0.98546,0.99482,0.90965,0.41363,0.29246,0.82195,0.0002972,0.0002972,0.0002972
45,7658.45,0.4772,0.35766,0.86137,0.9925,1,0.99488,0.92105,0.42338,0.28393,0.81915,0.0002576,0.0002576,0.0002576
46,7829.79,0.47512,0.36039,0.86729,0.9927,0.9939,0.99488,0.90314,0.41681,0.27772,0.81978,0.000218,0.000218,0.000218
47,8000.52,0.45581,0.34846,0.85181,1,0.98652,0.99488,0.90098,0.42975,0.29362,0.8213,0.0001784,0.0001784,0.0001784
48,8169.65,0.45832,0.34712,0.85343,1,0.98548,0.99459,0.90448,0.41117,0.28795,0.81728,0.0001388,0.0001388,0.0001388
49,8338.13,0.46065,0.34444,0.85679,0.99389,0.9921,0.99494,0.91316,0.40708,0.27533,0.81918,9.92e-05,9.92e-05,9.92e-05
